id,title,type
MISTAKE-SEQ-001,استنتاج التقارب من الرسم فقط,common_mistake
MISTAKE-SEQ-002,حساب النهاية قبل إثبات التقارب,common_mistake
MISTAKE-SEQ-003,نسيان التهيئة في التراجع,common_mistake
MISTAKE-SEQ-004,دراسة u_n بدل الفرق,common_mistake
MISTAKE-SEQ-005,نسيان الحصر عند إثبات التقارب,common_mistake
MISTAKE-SEQ-006,اختيار نقطة تثبيت خاطئة,common_mistake
MISTAKE-SEQ-007,الخطأ في عدد حدود المجموع,common_mistake
MISTAKE-SEQ-008,استعمال ln دون شرط الموجب,common_mistake
MISTAKE-SEQ-009,الخلط بين q<1 و |q|<1,common_mistake
MISTAKE-SEQ-010,عدم الرجوع من v_n إلى u_n,common_mistake
