id,title,type,concepts
DEF-SEQ-001,المتتالية العددية,definition,sequence
DEF-SEQ-002,المتتالية التراجعية,definition,recursive_sequence
DEF-SEQ-003,المتتالية الحسابية,definition,arithmetic_sequence
DEF-SEQ-004,المتتالية الهندسية,definition,geometric_sequence
DEF-SEQ-005,الرتابة,definition,monotonicity
DEF-SEQ-006,المحدودية,definition,boundedness
DEF-SEQ-007,التقارب,definition,convergence
DEF-SEQ-008,النهاية,definition,limit
DEF-SEQ-009,الاستدلال بالتراجع,definition,induction
DEF-SEQ-010,المتتاليتان المتجاورتان,definition,adjacent_sequences
DEF-SEQ-011,المتتالية المساعدة,definition,auxiliary_sequence
DEF-SEQ-012,نقطة التثبيت,definition,fixed_point
