id,title,type,concepts
FORMULA-SEQ-001,فرق الرتابة,formula,monotonicity
FORMULA-SEQ-002,الحد العام لحسابية,formula,arithmetic_sequence
FORMULA-SEQ-003,الحد العام لهندسية,formula,geometric_sequence
FORMULA-SEQ-004,مجموع هندسي,formula,geometric_sum
FORMULA-SEQ-005,مجموع حسابي,formula,arithmetic_sum
FORMULA-SEQ-006,نقطة التثبيت,formula,"fixed_point,limit"
FORMULA-SEQ-007,التحويل إلى هندسية,formula,geometric_transformation
FORMULA-SEQ-008,مبرهنة الحصر,formula,squeeze
FORMULA-SEQ-009,لوغاريتم الجداء,formula,logarithm
FORMULA-SEQ-010,لوغاريتم الجذر,formula,logarithm
FORMULA-SEQ-011,مجموع الأعداد الأولى,formula,"induction,sum"
FORMULA-SEQ-012,مجموع المربعات,formula,"induction,sum"
