chunk_id,title,content_type,section,source_pages,keywords,filename
SEQ-SCI-001,الكفاءات المستهدفة ومقدمة فصل المتتاليات,lesson_intro,introduction,1,"الكفاءات المستهدفة, المتتاليات العددية, سلوك المتتالية, نهاية المتتالية, التمثيل البياني",001_SEQ-SCI-001.md
SEQ-SCI-002,نشاط 1: مجموع الأعداد الفردية وخاصية وراثية,activity,induction_intro,2,"نشاط, الأعداد الفردية, مربع عدد طبيعي, خاصية وراثية, مجموع",002_SEQ-SCI-002.md
SEQ-SCI-003,نشاط 2: مقارنة عرضي توظيف باستعمال المتتاليات,activity,arithmetic_geometric_modeling,2,"متتالية حسابية, متتالية هندسية, راتب شهري, نسبة مئوية, زيادة سنوية",003_SEQ-SCI-003.md
SEQ-SCI-004,نشاط 3: متتالية معرفة بعلاقة تراجعية وتمثيل بياني,activity,recursive_sequence_graphical_study,3,"متتالية تراجعية, تمثيل بياني, دالة, نهاية, رتابة",004_SEQ-SCI-004.md
SEQ-SCI-005,نشاط 4: متتاليتان ودراسة الرتابة والنهاية,activity,two_sequences,3,"متتاليتان, رتابة, نهاية, تمثيل بياني, مقارنة",005_SEQ-SCI-005.md
SEQ-SCI-006,تعريف المتتالية العددية,lesson,sequence_definition,4,"تعريف, متتالية عددية, دالة, u(n), حد",006_SEQ-SCI-006.md
SEQ-SCI-007,اتجاه تغير المتتالية: متزايدة، متناقصة، ثابتة، رتيبة,lesson,monotonicity,4,"رتابة, متزايدة, متناقصة, ثابتة, اتجاه تغير",007_SEQ-SCI-007.md
SEQ-SCI-008,المتتالية الحسابية: التعريف والحد العام,lesson,arithmetic_sequence,4,"متتالية حسابية, أساس, حد عام, مجموع الحدود",008_SEQ-SCI-008.md
SEQ-SCI-009,المتتالية الهندسية: التعريف والحد العام والمجموع,lesson,geometric_sequence,4,"متتالية هندسية, أساس, حد عام, مجموع, نهاية",009_SEQ-SCI-009.md
SEQ-SCI-010,نهاية المتتالية الهندسية,lesson,geometric_sequence_limit,4,"نهاية, متتالية هندسية, q, تقارب, تباعد",010_SEQ-SCI-010.md
SEQ-SCI-011,تمرين محلول: إثبات متتالية حسابية واستخراج الحد العام,solved_exercise,arithmetic_sequence_exercise,5,"تمرين محلول, متتالية حسابية, فرق ثابت, حد عام, مجموع",011_SEQ-SCI-011.md
SEQ-SCI-012,تمرين محلول: تحويل متتالية إلى متتالية هندسية,solved_exercise,geometric_transformation_exercise,5,"تمرين محلول, متتالية هندسية, تحويل, نهاية, مجموع",012_SEQ-SCI-012.md
SEQ-SCI-013,مبدأ الاستدلال بالتراجع,lesson,mathematical_induction,6,"الاستدلال بالتراجع, برهان بالتراجع, خاصية P(n), وراثية",013_SEQ-SCI-013.md
SEQ-SCI-014,متى نستعمل الاستدلال بالتراجع؟,lesson,when_to_use_induction,6,"متى نستعمل التراجع, إثبات, خاصية طبيعية, n",014_SEQ-SCI-014.md
SEQ-SCI-015,تمرين محلول بالتراجع: إثبات متراجحة,solved_exercise,induction_inequality,7,"تمرين محلول, تراجع, متراجحة, 3^n, 100n",015_SEQ-SCI-015.md
SEQ-SCI-016,تمرين محلول بالتراجع: قابلية القسمة على 7,solved_exercise,induction_divisibility,7,"تمرين محلول, تراجع, قابلية القسمة, مضاعف, 7",016_SEQ-SCI-016.md
SEQ-SCI-017,نهاية متتالية عددية: التعريف,lesson,sequence_limit_definition,8,"نهاية متتالية, تقارب, lim, عدد حقيقي, نهاية منتهية",017_SEQ-SCI-017.md
SEQ-SCI-018,ربط نهاية المتتالية بنهاية دالة,lesson,sequence_limit_function_link,8,"نهاية دالة, متتالية, u_n=f(n), ربط",018_SEQ-SCI-018.md
SEQ-SCI-019,النهايات غير المنتهية للمتتاليات,lesson,infinite_sequence_limits,8,"نهاية غير منتهية, +∞, -∞, تباعد",019_SEQ-SCI-019.md
SEQ-SCI-020,تمرين محلول: نهاية متتالية كسرية,solved_exercise,rational_sequence_limit,9,"تمرين محلول, نهاية, متتالية كسرية, درجة البسط, درجة المقام",020_SEQ-SCI-020.md
SEQ-SCI-021,تمرين محلول: نهاية متتالية جذرية,solved_exercise,radical_sequence_limit,9,"تمرين محلول, نهاية, جذر, متتالية جذرية",021_SEQ-SCI-021.md
SEQ-SCI-022,تمرين محلول: متتالية تراجعية وتحويلها إلى حسابية,solved_exercise,recursive_to_arithmetic,9,"تمرين محلول, متتالية تراجعية, متتالية حسابية, نهاية",022_SEQ-SCI-022.md
SEQ-SCI-023,المتتالية المحدودة من الأعلى ومن الأسفل,lesson,bounded_sequences,10,"محدودة, محدودة من الأعلى, محدودة من الأسفل, حد علوي, حد سفلي",023_SEQ-SCI-023.md
SEQ-SCI-024,مبرهنة تقارب المتتاليات الرتيبة المحدودة,theorem,monotone_bounded_convergence,10,"مبرهنة, تقارب, متتالية متزايدة, محدودة, متناقصة",024_SEQ-SCI-024.md
SEQ-SCI-025,طرق إثبات أن متتالية محدودة,method,bounded_sequence_methods,11,"طريقة, إثبات المحدودية, استدلال بالتراجع, دالة, مقارنة",025_SEQ-SCI-025.md
SEQ-SCI-026,تمرين محلول: إثبات المحدودية من الأسفل,solved_exercise,lower_bound_exercise,11,"تمرين محلول, محدودة من الأسفل, دالة, جدول تغيرات",026_SEQ-SCI-026.md
SEQ-SCI-027,تمرين محلول: إثبات المحدودية من الأعلى,solved_exercise,upper_bound_exercise,11,"تمرين محلول, محدودة من الأعلى, فرق, إشارة",027_SEQ-SCI-027.md
SEQ-SCI-028,المتتاليتان المتجاورتان: التعريف والمبرهنة,lesson,adjacent_sequences,12,"متتاليتان متجاورتان, متزايدة, متناقصة, فرق يؤول إلى الصفر, نفس النهاية",028_SEQ-SCI-028.md
SEQ-SCI-029,مثال محلول: إثبات أن متتاليتين متجاورتان,solved_example,adjacent_sequences_example,12,"مثال, متتاليتان متجاورتان, u_n, v_n, فرق",029_SEQ-SCI-029.md
SEQ-SCI-030,تمرين محلول: متتاليتان معرفتان معًا وإثبات التجاور,solved_exercise,coupled_sequences,13,"تمرين محلول, متتاليتان, متجاورتان, نهاية مشتركة, u_n, v_n",030_SEQ-SCI-030.md
SEQ-SCI-031,دراسة متتالية تراجعية من الشكل U(n+1)=f(U(n)),lesson,recursive_sequence_form,14,"متتالية تراجعية, u_{n+1}=f(u_n), تمثيل بياني, نقطة ثابتة",031_SEQ-SCI-031.md
SEQ-SCI-032,مثال: متتالية تراجعية u(n+1)=-1/2 u(n)+3,worked_example,recursive_sequence_example,14,"مثال, متتالية تراجعية, نقطة ثابتة, هندسية",032_SEQ-SCI-032.md
SEQ-SCI-033,الحالة العامة للمتتالية التراجعية u(n+1)=a u(n)+b,lesson,linear_recursive_sequence,14,"حالة عامة, متتالية تراجعية خطية, a, b, نقطة ثابتة",033_SEQ-SCI-033.md
SEQ-SCI-034,متتالية متقاربة نحو العدد e: حصر العدد e,lesson,sequence_to_e,15,"العدد e, متتالية, حصر, تقارب, نهاية",034_SEQ-SCI-034.md
SEQ-SCI-035,نهاية المتتالية u_n=(1+1/n)^n,lesson,limit_to_e,15,"e, نهاية, (1+1/n)^n, تقارب",035_SEQ-SCI-035.md
